# index, airport_code, airport_id, airport_seq_id, city_market_id, origin, city_name, state_abr, state_fips, state_nm, wac, _pos
110,ANC,10299,1029906,30299,,"Anchorage, AK",AK,02,Alaska,1,"array([-3.1165276 ,  1.10791604])"
111,RAP,14457,1445701,34457,,"Rapid City, SD",SD,46,South Dakota,67,"array([-3.16626439,  1.17107133])"
112,SJC,14831,1483106,32457,,"San Jose, CA",CA,06,California,91,"array([-3.19468971,  1.17490465])"
113,SNA,14908,1490802,32575,,"Santa Ana, CA",CA,06,California,91,"array([-3.18694559,  1.17961849])"
114,BGR,10581,1058101,30581,,"Bangor, ME",ME,23,Maine,12,"array([-3.1744175 ,  1.22485604])"
115,LBB,12896,1289602,32896,,"Lubbock, TX",TX,48,Texas,74,"array([-3.20369408,  1.16931187])"
116,AMA,10279,1027901,30279,,"Amarillo, TX",TX,48,Texas,74,"array([-3.20711981,  1.17032575])"
117,ROC,14576,1457602,34576,,"Rochester, NY",NY,36,New York,22,"array([-3.20511382,  1.1994565 ])"
118,LFT,12951,1295101,32951,,"Lafayette, LA",LA,22,Louisiana,72,"array([-3.1610205 ,  1.19427401])"
119,ISP,12391,1239101,31703,,"Islip, NY",NY,36,New York,22,"array([-3.17528603,  1.20288561])"
120,RIC,14524,1452401,34524,,"Richmond, VA",VA,51,Virginia,38,"array([-3.18844287,  1.2074563 ])"
121,LGB,12954,1295401,32575,,"Long Beach, CA",CA,06,California,91,"array([-3.19920201,  1.16330451])"
122,BIS,10627,1062701,30627,,"Bismarck/Mandan, ND",ND,38,North Dakota,66,"array([-3.15993108,  1.17548921])"
123,MOT,13433,1343301,33304,,"Minot, ND",ND,38,North Dakota,66,"array([-3.15480012,  1.16851374])"
124,LIT,12992,1299206,32600,,"Little Rock, AR",AR,05,Arkansas,71,"array([-3.18497174,  1.18313781])"
125,LNK,13029,1302901,33029,,"Lincoln, NE",NE,31,Nebraska,65,"array([-3.16535228,  1.18904902])"
126,SYR,15096,1509601,35096,,"Syracuse, NY",NY,36,New York,22,"array([-3.19835312,  1.21032729])"
127,SIT,14828,1482801,34828,,"Sitka, AK",AK,02,Alaska,1,"array([-3.15490044,  1.07545571])"
128,WRG,15841,1584102,35841,,"Wrangell, AK",AK,02,Alaska,1,"array([-3.15630455,  1.08202835])"
129,SJU,14843,1484302,34819,,"San Juan, PR",PR,72,Puerto Rico,3,"array([-3.17188783,  1.20760972])"
130,DRO,11413,1141303,30285,,"Durango, CO",CO,08,Colorado,82,"array([-3.2229209 ,  1.15383711])"
131,MSN,13485,1348501,33485,,"Madison, WI",WI,55,Wisconsin,45,"array([-3.20378734,  1.18386409])"
132,DSM,11423,1142302,31423,,"Des Moines, IA",IA,19,Iowa,61,"array([-3.1774982 ,  1.18904465])"
133,BUR,10800,1080002,32575,,"Burbank, CA",CA,06,California,91,"array([-3.21076422,  1.1760923 ])"
134,PWM,14321,1432105,34321,,"Portland, ME",ME,23,Maine,12,"array([-3.19177553,  1.21529026])"
135,MDW,13232,1323202,30977,,"Chicago, IL",IL,17,Illinois,41,"array([-3.20321655,  1.19149271])"
136,DEN,11292,1129202,30325,,"Denver, CO",CO,08,Colorado,82,"array([-3.18362822,  1.17481157])"
137,DFW,11298,1129803,30194,,"Dallas/Fort Worth, TX",TX,48,Texas,74,"array([-3.18453076,  1.18794446])"
138,RFD,14512,1451201,34512,,"Rockford, IL",IL,17,Illinois,41,"array([-3.17456452,  1.18440437])"
139,RSW,14635,1463501,31714,,"Fort Myers, FL",FL,12,Florida,33,"array([-3.20164916,  1.19748796])"
140,ROA,14574,1457401,34574,,"Roanoke, VA",VA,51,Virginia,38,"array([-3.18649264,  1.22494509])"
141,TRI,15323,1532302,35323,,"Bristol/Johnson City/Kingsport, TN",TN,47,Tennessee,54,"array([-3.19705722,  1.23412447])"
142,BUF,10792,1079202,30792,,"Buffalo, NY",NY,36,New York,22,"array([-3.20174288,  1.20206642])"
143,SDF,14730,1473004,33044,,"Louisville, KY",KY,21,Kentucky,52,"array([-3.19298408,  1.19664096])"
144,RST,14633,1463302,32547,,"Rochester, MN",MN,27,Minnesota,63,"array([-3.16250534,  1.20075636])"
145,LSE,13076,1307601,33076,,"La Crosse, WI",WI,55,Wisconsin,45,"array([-3.15343103,  1.18810498])"
146,CVG,11193,1119301,33105,,"Cincinnati, OH",KY,21,Kentucky,52,"array([-3.18296031,  1.19491476])"
147,CPR,11122,1112203,31122,,"Casper, WY",WY,56,Wyoming,88,"array([-3.15197812,  1.15650895])"
148,PUB,14288,1428801,34288,,"Pueblo, CO",CO,08,Colorado,82,"array([-3.17433531,  1.13699834])"
149,MAF,13158,1315802,33158,,"Midland/Odessa, TX",TX,48,Texas,74,"array([-3.21344972,  1.18031576])"
150,FAT,11638,1163805,31638,,"Fresno, CA",CA,06,California,91,"array([-3.20199906,  1.1600837 ])"
151,YNG,16133,1613303,36133,,"Youngstown/Warren, OH",OH,39,Ohio,44,"array([-3.23186706,  1.23465838])"
152,MOB,13422,1342201,30562,,"Mobile, AL",AL,01,Alabama,51,"array([-3.16927676,  1.21391963])"
153,HDN,12094,1209401,34699,,"Hayden, CO",CO,08,Colorado,82,"array([-3.16124724,  1.16504564])"
154,STL,15016,1501602,31123,,"St. Louis, MO",MO,29,Missouri,64,"array([-3.19021834,  1.19221537])"
155,MHT,13296,1329603,30721,,"Manchester, NH",NH,33,New Hampshire,14,"array([-3.17877201,  1.20048577])"
156,PNS,14193,1419306,33728,,"Pensacola, FL",FL,12,Florida,33,"array([-3.17670177,  1.20644917])"
